"jour","route_id","customer_id","client","heure_debut","heure_fin","note"
"Lundi","50017","154786","PRO PNEUS DEMARTIGNY INC","00:00:00","13:00:00",
"Lundi","50002","159947","PRODUITS SANITAIRES ROYAL NET INC.","00:00:00","15:00:00",
"Lundi","50004","156200","PROLOGUE DISTRIBUTION","00:00:00","22:00:00",
"Lundi","50002","163000","PROMOTION DU LIVRE SDM INC","00:00:00","13:45:00",
"Lundi","50013","301566","PROMOTION RODEL","00:00:00","15:50:00",
"Lundi","50013","102620","PROMOTIONS ATLANTIQUES","00:00:00","13:40:00",
"Lundi","50004","156203","PROMOTIONS C.D. INC.","00:00:00","18:30:00",
"Lundi","50009","158563","QUINCAILLERIE RICHELIEU LTEE","00:00:00","20:00:00",
"Lundi","50001","102680","QUINCAILLERIE RICHELIEU LTEE RELIABLE","00:00:00","17:25:00",
"Lundi","55610","302874","REPAS WECOOK (MEALKIT)","00:00:00","17:00:00",
"Lundi","50000","302249","RESTOCK CANADA WIPTEC","00:00:00","00:00:00",
"Lundi","50029","158800","ROCHELEAU","00:00:00","15:15:00",
"Lundi","50001","301430","SAIL PLEIN AIR","00:00:00","13:00:00",
"Lundi","50029","161402","SANI-MARC INC.","00:00:00","15:45:00",
"Lundi","50011","161425","SARSTEDT INC.                           ","00:00:00","15:00:00",
"Lundi","50002","302365","SHIPTO","00:00:00","14:00:00",
"Lundi","50002","303538","SHIPTO 2","00:00:00","14:00:00",""
"Lundi","55609","303005","SIMONS PICKUP POINTE CLAIRE","00:00:00","14:15:00",""
"Lundi","50012","303003","SIMONS PICKUP ST-BRUNO","00:00:00","15:30:00",
"Lundi","50000","300954","SONAR LIMITED PARTNERSHIP","00:00:00","14:00:00",
"Lundi","50024","303547","SPI HEALTH & SAFETY","00:00:00","17:30:00",""
"Lundi","50009","300118","STAPLES CANADA ULC","00:00:00","19:30:00",
"Lundi","50025","107000","STAPLES CANADA ULC","00:00:00","22:30:00",
"Lundi","50018","161422","SUPERIOR SANY SOLUTIONS ","00:00:00","14:45:00",
"Lundi","50018","302891","SUPERIOR SANY SOLUTIONS DIV. IMPERIAL DADE","00:00:00","14:45:00",
"Lundi","50013","102570","SUPPLEMENTS AROMATIK INC.","00:00:00","15:15:00",
"Lundi","50016","164964","SUZY'S INC","00:00:00","14:30:00",
"Lundi","50001","302225","TANDEM 3PL","00:00:00","15:00:00",
"Lundi","50011","302190","TECHNOLOGIES EDUCATIO INC","00:00:00","14:00:00",
"Lundi","50009","301421","TECHNOLOGIES EDUCATION INC QC LOISIRS","00:00:00","14:30:00",
"Lundi","50001","165502","TENZO INC","00:00:00","15:45:00",
"Lundi","50001","302293","UPSIDEDRINKS.CA","00:00:00","15:15:00",""
"Lundi","50012","168059","V-TO INC. ( ST-HYACINTHE )","00:00:00","14:30:00",
"Lundi","50029","302568","VIVA PANETTONE THERMIQUE","00:00:00","13:00:00",
"Lundi","50024","302414","WAREHOUSE","00:00:00","17:15:00",
"Lundi","50019","114849","FOURNITURES DE BUREAU DENIS","12:00:00","19:45:00",
"Lundi","50007","158210","RAPIFLEX DISTRIBUTION","15:00:00","14:45:00",
"Lundi","50019","165776","TOMRA CANADA INC","15:00:00","13:45:00",
"Lundi","50003","301401","ALIMENT SNACK","16:30:00","13:30:00",
"Lundi","50006","102300","AMI-CO INC #1","16:30:00","16:00:00",
"Lundi","50018","109105","CANAROPA (1954) INC.","16:30:00","16:15:00",
"Lundi","50007","144784","COMPLEXE MULTIFONCTIONNEL LQ ( CMLQ )","16:30:00","16:10:00",
"Lundi","50007","301075","KARINE JONCAS COSMETIQUES","16:30:00","15:15:00",
"Lundi","50013","101472","MESSAGERIES A.D.P. INC. (RETOURS)","16:30:00","10:00:00",
"Lundi","50024","156202","PROLOGUE (RETOURS)","16:30:00","13:00:00",
"Lundi","50024","158568","RICOCHET","16:30:00","14:45:00",
"Lundi","50016","164285","SONALCO   ","16:30:00","15:00:00",
"Lundi","50017","102689","ATTITUDES IMPORT INC","17:00:00","15:15:00",
"Lundi","50014","151185","BAYARD PRESSE CANADA INC ( ADELF )","17:00:00","14:00:00",
"Lundi","50009","109008","CANARM","17:00:00","13:45:00",
"Lundi","50001","302129","CENTRE DU TRAVAILLEUR FH INC","17:00:00","16:20:00",
"Lundi","50018","105210","D'AMOUR BICYCLE","17:00:00","16:45:00",
"Lundi","50013","301226","GRANDWEST ENTERPRISES DISTAM (EASTERN DIVISION)","17:00:00","16:15:00",
"Lundi","50027","124417","L'EMBALLAGE TOUT","17:00:00","14:40:00",
"Lundi","50016","268418","PROVO LTD MTL","17:00:00","16:15:00",
"Lundi","50013","158545","REMI CARRIER INC","17:00:00","16:30:00",
"Lundi","50002","302026","RUBINO SHOES","17:00:00","16:30:00",
"Lundi","50008","158547","SERVICES REMTEC INC","17:00:00","16:00:00",
"Lundi","50044","302004","SHIP-PRO SOLUTIONS","17:00:00","15:00:00",
"Lundi","50011","301250","TRANS-HERBE","17:00:00","00:00:00",
"Lundi","50018","301321","BRAULT & BOUTHILLIER (GR)","18:00:00","17:00:00",
"Lundi","50018","145969","MIDLAND TRANSPORT LIMITED","18:00:00","14:15:00",
"Mardi","50008","302041","BOUCLAIR",,"12:00:00",""
"Mardi","50007","301320","BRAULT & BOUTHILLIER (BEAUMONT)",,"14:00:00","7h00-15h30"
"Mardi","50012","112005","BUROPRO CITATION DRUMMONVILLE",,"10:15:00",
"Mardi","50019","114309","DANESCO INC",,"14:30:00","Fermeture 16h00"
"Mardi","55610","303548","DESIGNME HAIR ",,"14:30:00","Fermeture 15h30"
"Mardi","50012","163860","DISTRIBUTION SIGNATURE INC",,"15:00:00",""
"Mardi","50019","303546","FASTCO CANADA",,"15:30:00",""
"Mardi","50024","303322","J.E. MONDOU MASCOUCHE",,"20:00:00",""
"Mardi","50130","136850","J.L. INC.",,"14:00:00",""
"Mardi","50011","111444","LES EDITIONS C.E.C INC (NAT_FLEX )",,"15:30:00",""
"Mardi","50002","164445","LES OLIVERAIES STAVROPOULOS",,"15:30:00",""
"Mardi","55610","302606","LEVITON",,"15:00:00","15:00"
"Mardi","50010","144885","LUDIK DISTRIBUTION",,"14:45:00","Fermeture 16h00"
"Mardi","50004","113300","NATIONEX",,"20:00:00",
"Mardi","50012","300620","NATIONEX DRUMMONDVILLE",,"10:45:00",
"Mardi","50027","303523","NOVENTRA INDUSTRIES",,"14:00:00","porte 113 ou 114, Ferme a 16h"
"Mardi","50024","156200","PROLOGUE DISTRIBUTION",,"17:00:00",
"Mardi","50002","165506","SPICERS CANADA ULC",,"18:45:00"," nouveau cadre syndical de 3-11pm.  Important de maintenir cueillette à 18h45. L’entrepôt ouvert jus"
"Mardi","50027","112140","TC MEDIA LIVRE INC (COLLECT)",,"14:30:00",""
