"customer_id","client","route_ids","scheduled_pickup_days","days_at_or_below_100","percent_days_at_or_below_100","total_parcels_created","average_parcels_per_pickup_day","max_parcels_in_one_day","total_shipments_created","average_cubic_volume","volume_measured_parcels","average_weight","weight_measured_parcels","first_pickup_day","last_pickup_day"
"145915","MEDIQUE MEDICAL SUPPLIES ( MGBR ) INC","50018","22","22","100","544","24.73","69","281","2546.72","501","13.02","507","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302293","UPSIDEDRINKS.CA","50001 / 50007","22","22","100","844","38.36","70","660","2768.62","1128","26.11","1170","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"140702","LIEBERMANTEXTILES","50018","22","22","100","604","27.45","71","197","4007.18","578","26.01","604","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"165506","SPICERS CANADA ULC","50002","22","22","100","674","30.64","71","305","2382.77","642","29.15","674","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"164445","LES OLIVERAIES STAVROPOULOS","50002","18","18","100","502","27.89","72","247","2901.5","519","41.16","537","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"120790","DUROPAC","50010","22","22","100","733","33.32","78","186","1584.07","707","32.68","733","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"167812","CADRES VERBEC INC","50013","22","22","100","767","34.86","79","598","3265.33","720","13.55","767","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303220","L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE","50019","22","22","100","628","28.55","79","185","2888.69","537","19.71","565","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"102620","PROMOTIONS ATLANTIQUES","50013","22","22","100","560","25.45","79","126","3157.89","652","15.63","710","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303546","FASTCO CANADA","50019","22","22","100","1081","49.14","81","391","6594.66","998","41.21","1081","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302525","CAMBIUM DISTRIBUTION","50019","22","22","100","781","35.5","82","120","4118.1","765","17.05","781","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"268418","PROVO LTD MTL","50016","22","22","100","958","43.55","82","200","2316.86","930","25.51","958","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"300482","CONFORT EXCELFLEX (BLEU ECO)","50012","22","22","100","632","28.73","83","352","7083.44","525","24.5","632","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302624","EMPIRE","50001 / 50007","22","22","100","955","43.41","83","954","824.58","929","2.56","955","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"157449","LES EQUIPEMENTS QUEMONT INC","50024","22","22","100","903","41.05","83","512","1429.39","834","23.42","903","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"102790","AUTRUCHE","50011","18","18","100","670","37.22","92","125","2289.79","677","18.84","717","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
